Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
Playad.ai,https://www.crunchbase.com/organization/gigr,2026-01-22,Pre-Seed,1-10,"South San Francisco, Pennsylvania, United States",Playad.ai develops an AI-native marketing platform for multi-agent ad workflows and interactive ad creatives.,5400000,USD,5400000,"BRV Capital Management, Mirae Asset Venture Investment",https://playad.ai
Wisdom.io,https://www.crunchbase.com/organization/wisdom-io,2026-01-02,Pre-Seed,11-50,"New York, New York, United States",Wisdom is a privacy-preserving smart home care system designed for older adults and their trusted circle of caregivers.,315000,USD,315000,,https://www.mywisdom.io
RiskFront,https://www.crunchbase.com/organization/riskfront,2026-01-21,Pre-Seed,11-50,"Los Angeles, California, United States",Agentic AI systems for financial crime operational tasks and workflows.,3300000,USD,3300000,Lytical Ventures,https://riskfront.ai/
100XBIO,https://www.crunchbase.com/organization/100x-bioassay,2026-01-11,Pre-Seed,1-10,"Woburn, Massachusetts, United States",One-click immune R&D platform,10000,USD,10000,,https://www.100xbio.com/
Overworld,https://www.crunchbase.com/organization/overworld-5c51,2026-01-20,Pre-Seed,11-50,"Providence, Rhode Island, United States","Overworld is a research and development studio that creates real-time, local-first diffusion world models.",4500000,USD,4500000,Kindred Ventures,https://over.world/
Nucleus 4D,https://www.crunchbase.com/organization/nucleus-4d,2026-01-20,Pre-Seed,1-10,"Austin, Texas, United States",Digitizing every space into a living 3D revenue engine,1500000,USD,1500000,"Antler, South Loop Ventures",https://www.nucleus4d.com/
Yipy,https://www.crunchbase.com/organization/yipy,2026-01-13,Pre-Seed,1-10,"Salt Lake City, Utah, United States",Yipy is a standards management systems for hotels.,1000000,USD,1000000,"Great North Ventures, Ollin Ventures",https://www.yipy.io
Asymmetric Security,https://www.crunchbase.com/organization/asymmetric-security,2026-01-23,Pre-Seed,1-10,"San Francisco, California, United States",Asymmetric Security is an AI-native cybersecurity startup specializing in digital forensics and incident response.,4200000,USD,4200000,Susa Ventures,https://www.asymmetricsecurity.com/
VisaPal,https://www.crunchbase.com/organization/visapal,2026-01-01,Pre-Seed,1-10,"New York, New York, United States",VisaPal provides online tools for managing visa applications and preparing required immigration documents.,2000000,USD,2000000,,https://tryvisapal.com
Xella Health,https://www.crunchbase.com/organization/xella-health,2026-01-11,Pre-Seed,11-50,"San Francisco, California, United States",Xella Health is a women healthcare firm that unveils the major causes behind women health concern perimenopause to endometriosis.,3700000,USD,3700000,Precursor Ventures,https://joinxella.com/
Ucut inc,https://www.crunchbase.com/organization/ucut-inc,2026-01-02,Pre-Seed,1-10,"Boise, Idaho, United States",UCUT offers a service that brings barbers and stylists to a customer’s chosen location through a mobile app.,5000000,USD,5000000,,https://ucutpro.com/
Meet Caria,https://www.crunchbase.com/organization/meet-caria,2026-01-13,Pre-Seed,1-10,"Newark, Delaware, United States","Meet Caria, a leading international business in technology, consulting, business.",1000000,USD,1000000,ANF Investment,https://meetcaria.ai
Corvera.ai,https://www.crunchbase.com/organization/corvera-ai,2026-01-18,Pre-Seed,,"San Francisco, California, United States",Corvera.ai is an autonomous operations layer that automates supply chain and operational tasks for consumer packaged goods companies.,1500000,GBP,2010306,"Firstminute Capital, Y Combinator",https://www.corvera.ai
Irreversible,https://www.crunchbase.com/organization/irreversible,2026-01-27,Pre-Seed,1-10,"Sherbrooke, Quebec, Canada",Irreversible designs next-generation analog AI chips that enable meaningful intelligence anywhere — from sensors to robots.,,,,"Innovation for Defence Excellence and Security, Quantacet",https://www.irreversible.tech/
Alcove,https://www.crunchbase.com/organization/alcove-f6c4,2026-01-29,Pre-Seed,1-10,"Brooklyn, New York, United States",Productivity Platform,1000000,USD,1000000,,https://reservealcove.com/
Breez AI,https://www.crunchbase.com/organization/breez-ai,2026-01-22,Pre-Seed,11-50,"Wilmington, Delaware, United States",Breez AI offers a no-code voice orchestration platform enabling enterprises to deploy real-time Voice AI across phone operations.,1300000,USD,1300000,Wamda Capital,https://www.heybreez.ai/
Chamber,https://www.crunchbase.com/organization/chamber-f81e,2026-01-06,Pre-Seed,1-10,"San Francisco, California, United States",AI Infrastructure on Autopilot,500000,USD,500000,,https://www.usechamber.io
Cumulus Labs,https://www.crunchbase.com/organization/cumulus-labs,2026-01-13,Pre-Seed,1-10,"San Francisco, California, United States","Cumulus Labs develops software for creating, running, and managing virtual labs and hands-on training environments.",500000,USD,500000,Y Combinator,https://cumuluslabs.io
Prévoir,https://www.crunchbase.com/organization/prévoir-89d4,2026-01-09,Pre-Seed,1-10,"Calgary, Alberta, Canada",Prévoir operates as an intelligent planning system built specifically for fashion merchandisers.,750000,CAD,538851,"Alberta Innovates, AltaML",https://www.prevoir.ai/
Osto,https://www.crunchbase.com/organization/osto-cybersecurity-private-limited,2026-01-15,Pre-Seed,11-50,"San Francisco, California, United States",One-Stop Cybersecurity Platform for Fast Moving Startups,75000000,INR,829996,,https://www.osto.one
PromptShop,https://www.crunchbase.com/organization/promptshop,2026-01-16,Pre-Seed,11-50,"Toronto, Ontario, Canada",PromptShop helps users and enterprises go from experiments to production faster by standardizing AI packaging and sharing.,1000000,USD,1000000,,https://www.promptshop.co/
UnderContrac,https://www.crunchbase.com/organization/undercontrac,2026-01-20,Pre-Seed,1-10,"Wilmington, Delaware, United States",AI-powered SaaS that helps real estate operators launch and finance projects with automated workflows and investor docs.,160000,USD,160000,,https://www.undercontrac.com/
Exterview AI,https://www.crunchbase.com/organization/exterview-ai,2026-01-10,Pre-Seed,51-100,"San Francisco, California, United States",Agentic Talent Intelligence Platform,1000000,USD,1000000,,https://exterview.ai/
Anytool,https://www.crunchbase.com/organization/anytool,2026-01-07,Pre-Seed,,"San Francisco, California, United States",Anytool is an applied research lab focused on transforming how teams build and use internal tools through AI collaboration.,1000000,USD,1000000,Y Combinator,https://www.anytool.sh
Libra AI,https://www.crunchbase.com/organization/libra-ai,2026-01-11,Pre-Seed,11-50,"Palo Alto, California, United States",Libra AI is a tech company that offers enterprise AI driven software for workforces.,1000000,USD,1000000,AMS Ventures,https://trylibra.ai
PantriApp,https://www.crunchbase.com/organization/pantri-app,2026-01-06,Pre-Seed,1-10,"Houston, Texas, United States",Building the Household OS: AI infrastructure for the next generation of home services.,,,,,https://pantri-app.com/
Paycrest,https://www.crunchbase.com/organization/paycrest,2026-01-14,Pre-Seed,1-10,"San Francisco, California, United States",Paycrest decentralized payment routing protocol enabling secure conversion and settlement between stablecoins and fiat.,404000,USD,404000,,https://www.paycrest.io
Eatsy Orders,https://www.crunchbase.com/organization/eatsy-orders,2026-01-07,Pre-Seed,11-50,"Fort Lee, New Jersey, United States","Eatsy Orders offers a platform for restaurants to manage menus, orders, and operations through a unified digital system.",100000,USD,100000,,https://www.eatsyorders.com
Return Signals,https://www.crunchbase.com/organization/return-signals,2026-01-20,Pre-Seed,1-10,"San Francisco, California, United States","Proactive CX for E-commerce. Text post-delivery to provide support, preempt returns, and improve retention.",500000,USD,500000,,https://www.returnsignals.com
Infinity Artificial Intelligence Institute,https://www.crunchbase.com/organization/infinity-artificial-intelligence-institute,2026-01-03,Pre-Seed,11-50,"San Francisco, California, United States",Automated AI Research for Inference Optimization,1800000,USD,1800000,,https://infinity.inc
SaltedHash Tech,https://www.crunchbase.com/organization/saltedhash-tech-llc,2026-01-04,Pre-Seed,11-50,"Sheridan, Wyoming, United States","Premier US Cybersecurity Firm | Offensive Security, Digital Forensics, Managed Defense & GRC | Securing Your Tomorrow",25000,USD,25000,Shariar Rahman,https://www.saltedhashtech.com
Leracom AI,https://www.crunchbase.com/organization/leracom-ai,2026-01-23,Pre-Seed,11-50,"Monterrey, Nuevo Leon, Mexico",Leracom AI provides an AI-powered customer service SaaS platform combining automation and human input.,1000000,USD,1000000,WeBoost,https://leracom.ai/
Squid,https://www.crunchbase.com/organization/squid-8289,2026-01-05,Pre-Seed,1-10,"San Francisco, California, United States","Squid offers a workspace for planning, modeling, and testing power grid networks with tools for network analysis and simulation.",500000,USD,500000,Y Combinator,https://www.squid.energy
Hearth Property,https://www.crunchbase.com/organization/hearth-property,2026-01-01,Pre-Seed,1-10,"San Francisco, California, United States",AI Powered Property Management,100000,USD,100000,FIREBOARD INTELLIGENCE FORGE,https://www.hearthproperty.com/
Assail,https://www.crunchbase.com/organization/assail,2026-01-13,Pre-Seed,1-10,"Las Vegas, Nevada, United States","Assail AI develops Ares, an agentic AI platform for autonomous offensive security testing targeting mobile apps, APIs, web infrastructure.",250000,USD,250000,Squared Circle Ventures,https://www.assailai.com
Gemelo.app,https://www.crunchbase.com/organization/gemelo-app,2026-01-10,Pre-Seed,11-50,"San Francisco, California, United States",AI Twins and AI Avatars for Video Content Creation,500000,USD,500000,,https://gemelo.app
Global Key Solutions Corp.,https://www.crunchbase.com/organization/global-key-solutions-corp,2026-01-26,Pre-Seed,11-50,"New York, New York, United States","B2B SaaS, Regulatory Intelligence, Inspection Preparation",,,,,https://www.globalkeysolutions.net
Aegis Vitals,https://www.crunchbase.com/organization/aegis-vitals,2026-01-15,Pre-Seed,1-10,"San Francisco, California, United States",Aegis Vitals is a healthcare tech company that offers AI-driven early-warning health intelligence that detects risk before symptoms appear.,25000,USD,25000,,https://aegisvitals.ai/
tmpo,https://www.crunchbase.com/organization/tmpo,2026-01-05,Pre-Seed,1-10,"New York, New York, United States",tmpo is an innovative job-matching platform connecting employers and talent quickly through swipe-based recruiting,127500,USD,127500,,https://www.tmpoapp.com/
WiseCost,https://www.crunchbase.com/organization/wisecost,2026-01-23,Pre-Seed,1-10,"Arlington, Virginia, United States","WiseCost is a cloud and cost management SaaS helping businesses plan, budget, and optimise expenses.",268000,USD,268000,,https://usewisecost.com/
Auron Solutions,https://www.crunchbase.com/organization/auron-solutions,2026-01-27,Pre-Seed,1-10,"San Francisco, California, United States",Aerospace and Defense AI,250000,USD,250000,Techstars,https://www.auron.solutions/
Mos Health,https://www.crunchbase.com/organization/mos-health,2026-01-30,Pre-Seed,1-10,"San Francisco, California, United States",Mos Health creates a digital health platform that blends an AI-powered application with its own line of supplements.,1100000,USD,1100000,"Movens Capital, SMOK Ventures",https://moshealth.com/
Factagora,https://www.crunchbase.com/organization/factagora,2026-01-23,Pre-Seed,1-10,"San Jose, California, United States",Factagora develops a solution to verify AI-generated content in real time using reusable knowledge graphs,,,,Gyeonggi Creative Economy Innovation Center,https://www.factagora.com
HyBotX,https://www.crunchbase.com/organization/hybotx,2026-01-01,Pre-Seed,,"Rockville, Maryland, United States",HyBotX is a robotics power technology company focused on enabling long-duration.,200000,USD,200000,"FasterCapital, Hesham Zreik",
EyeTally.AI,https://www.crunchbase.com/organization/eyetally-ai,2026-01-06,Pre-Seed,1-10,"Spokane, Washington, United States",EyeTally.AI is a retail tech company that offers AI powered back office software for retailers.,10000,USD,10000,,https://eyetally.ai/
Cognirum,https://www.crunchbase.com/organization/cognirum,2026-01-06,Pre-Seed,11-50,"Novato, California, United States",Cognirum is a SaaS company that offers AI tools for business automation services.,8700,USD,8700,,https://cognirum.com/
Bruce Legal,https://www.crunchbase.com/organization/bruce-e0ae,2026-01-08,Pre-Seed,1-10,"New York, New York, United States","Bruce Legal provides AI case law research, analysis, prediction, and client follow-ups for attorneys and law firms.",100000,USD,100000,Robin Hood Foundation,
Business For Teens,https://www.crunchbase.com/organization/business-for-teens,2026-01-05,Pre-Seed,,"Egypt, Arkansas, United States",Business For Teens is an education startup focused on teaching entrepreneurship and financial literacy to teenagers.,,,,Salah Abo El Magd,https://growacademy.me
Paivana,https://www.crunchbase.com/organization/paivana,2026-01-09,Pre-Seed,,"Lewes, Delaware, United States",Paivana is an AI driven fintech company that offers AI agent enabled cash and payment system for instant account-free transactions.,1500,USD,1500,,https://paivana.ai/
Placis,https://www.crunchbase.com/organization/arqon-8db9,2026-01-13,Pre-Seed,11-50,"San Francisco, California, United States","Engineering autonomous systems that turn fragmented construction decisions into consistent, verifiable outcomes.",,,,,https://placis.ai
OrbiSharp Robotics,https://www.crunchbase.com/organization/orbisharp-robotics,2026-01-14,Pre-Seed,1-10,"Monkton, Maryland, United States",OrbiSharp Robotics is a robotics company.,5000,USD,5000,,
Visorix,https://www.crunchbase.com/organization/visorix,2026-01-08,Pre-Seed,1-10,"La Crosse, Wisconsin, United States","Visorix is a VR ecosystem builder developing the Virtara—a snap-on, 5.7K stereoscopic camera system for the creator economy. Patent Pending",,,,,https://visorix.net/
DRNKR,https://www.crunchbase.com/organization/drnkr,2026-01-23,Pre-Seed,11-50,"The Villages, Florida, United States",DRNKR offers an app for beverage lovers to discover and taste craft beverages.,7500,USD,7500,,https://www.drnkr.com/
Something Borrowed Studio,https://www.crunchbase.com/organization/something-borrowed-studio,2026-01-02,Pre-Seed,1-10,"Seattle, Washington, United States","Something Borrowed Studio Manages guest lists, tracks RSVPs, generates color palettes, and searches venues and vendors for wedding planning.",50000,USD,50000,,https://sbstudio.ai
Legal Extract AI,https://www.crunchbase.com/organization/legal-extract-ai,2026-01-09,Pre-Seed,1-10,"Newark, New Jersey, United States",Legal Extract AI offers tools that extract structured data and key terms from legal documents.,,,,,https://www.legalextract.ai
PeKe Labs,https://www.crunchbase.com/organization/peke-labs,2026-01-06,Pre-Seed,1-10,"Boston, Massachusetts, United States","PeKe Labs builds wearable gesture-control hardware for seamless, private human–AI interaction.",,,,,https://www.pekelabs.com/
AP Transit - NYC Subway Map,https://www.crunchbase.com/organization/ap-transit-nyc-subway-map,2026-01-26,Pre-Seed,1-10,"New York, New York, United States","AP Transit NYC Subway Map shows real-time subway locations, schedules, and station access to help riders navigate the system.",,,,,https://aptransit.co
BestFarewell,https://www.crunchbase.com/organization/bestfarewell,2026-01-30,Pre-Seed,1-10,"Chicago, Illinois, United States","BestFarewell is a family-planning and digital estate platform, offering services for families and professional organizations.",,,,,https://www.bestfarewell.com
Lexitio,https://www.crunchbase.com/organization/lexitio,2026-01-05,Pre-Seed,1-10,"New York, New York, United States","Legal AI, SaaS, OSINT, CRM, Deep Tech",,,,,http://lexitio.com
Ethicos Health,https://www.crunchbase.com/organization/ethicos-health,2026-01-07,Pre-Seed,1-10,"Nashville, Tennessee, United States",Ethicos Health is a Nashville-based healthcare technology startup with an AI-enabled platform designed to manage specialty pharmacy costs.,,,,,https://ethicoshealth.com/
Morph Systems,https://www.crunchbase.com/organization/morph-systems,2026-01-20,Pre-Seed,1-10,"Palo Alto, California, United States",Morphsys.ai builds custom generative AI solutions and AI operating systems to streamline enterprise workflows and data intelligence.,,,,,https://morphsys.ai/
Backboard.io,https://www.crunchbase.com/organization/backboard-io,2026-01-07,Pre-Seed,1-10,"Ottawa, Ontario, Canada",Backboard.io provides developers a single stateful interface to more than 400 LLMs and SLMs for app development.,,,,Mistral Venture Partners,https://backboard.io/
Clikyo,https://www.crunchbase.com/organization/clikyo,2026-01-08,Pre-Seed,1-10,"Atlanta, Georgia, United States","Next-generation social media platform empowering creators through AI, creativity, and authentic global connection.",,,,,https://clikyo.com/
Searcle AI,https://www.crunchbase.com/organization/searcle-ai,2026-01-13,Pre-Seed,1-10,"San Francisco, California, United States",AI infrastructure for search visibility across Google and AI search engines.,,,,,https://www.searcle.ai/
TakeTwo,https://www.crunchbase.com/organization/taketwo,2026-01-28,Pre-Seed,1-10,"Sunnyvale, California, United States",TakeTwo is an AI-native film studio specialising in high-end visual storytelling by integrating AI into professional film workflows.,,,,"Afore Capital, Inovia Capital",https://www.trytaketwo.com/
StreamStakes,https://www.crunchbase.com/organization/streamstakes,2026-01-22,Pre-Seed,1-10,"Tarzana, California, United States","StreamStakes offers fantasy sports for music, where users listen to new tracks from artists.",,,,,https://www.streamstakes.xyz/
COYA,https://www.crunchbase.com/organization/coya-5d46,2026-01-01,Pre-Seed,1-10,"San Francisco, California, United States","COYA is a social networking platform for gamers to find teammates, join communities, and connect with players by game, region, & playstyle.",,,,,https://www.coya.gg
GIRL NOW WOMAN LATER,https://www.crunchbase.com/organization/girl-now-woman-later,2026-01-12,Pre-Seed,1-10,"Marietta, Georgia, United States","GNWL empowers girls in Burkina Faso through menstrual health education, free period kits, and advocacy to end period poverty.",,,,,https://www.girlnowwomanlater.org/
Campsite Games,https://www.crunchbase.com/organization/campsite-games,2026-01-01,Pre-Seed,1-10,"Los Angeles, California, United States","Campsite Games is a fully remote independent game studio, building a Social Action Roleplaying Game",,,,,https://www.campsitegames.com
Sable Beauty,https://www.crunchbase.com/organization/sable-beauty,2026-01-15,Pre-Seed,,"New York, New York, United States","Sable Beauty is an online boutique specializing in curated indie and natural beauty and skincare brands, emphasizing clean.",,,,"SOSV, Turret Capital Management",https://www.sablebeauty.com
Colare,https://www.crunchbase.com/organization/colare,2026-01-05,Pre-Seed,1-10,"Toronto, Ontario, Canada",AI-powered hiring platform to hire engineers faster.,,,,,https://colare.co/
GyftPro,https://www.crunchbase.com/organization/gyftpro,2026-01-20,Pre-Seed,1-10,"Phoenix, Arizona, United States","GyftPro was designed to make gifting seem effortless, meaningful, and truly personal.",,,,,https://www.gyftpro.com
RABB Holdings,https://www.crunchbase.com/organization/rabb-holdings,2026-01-23,Pre-Seed,1-10,"Wyoming, Michigan, United States","Real Estate, Services and Management Consulting",,,,,
Tip&Tips,https://www.crunchbase.com/organization/tip-tips,2026-01-28,Pre-Seed,1-10,"Barrie, Ontario, Canada",Tip&Tips is a real-time human knowledge marketplace with AI,,,,KiwiTech,https://www.tipntips.co
Fortune e-Vault,https://www.crunchbase.com/organization/fortune-e-vault,2026-01-20,Pre-Seed,1-10,"San Mateo, California, United States",E-registry for SAFE Notes,,,,,https://www.registerstocks.com
CogitoAI,https://www.crunchbase.com/organization/cogitoai,2026-01-02,Pre-Seed,11-50,"Newark, Delaware, United States",SaaS,300000,USD,300000,,http://CogitoAI.ai
Thirty Dark Zero,https://www.crunchbase.com/organization/thirty-dark-zero,2026-01-01,Pre-Seed,1-10,"Sherman Oaks, California, United States","SaaS, Web App, Music Distribution",,,,,https://www.thirtydarkzero.com
Open Chairs and Booths,https://www.crunchbase.com/organization/open-chairs-and-booths,2026-01-01,Pre-Seed,1-10,"Detroit, Michigan, United States",Open Chairs and Booths links owners of unused salon spaces with beauty professionals seeking short‑term workspaces.,,,,,https://www.opencnb.com/
