Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
OTTO SPORT AI,https://www.crunchbase.com/organization/otto-sport-ai,2026-01-15,Seed,51-100,"Minneapolis, Minnesota, United States",OTTO SPORT AI is an AI-driven intelligent operating system developed for youth sports groups.,16500000,USD,16500000,"Mamba Growth, Rally Ventures",https://www.ottosport.ai
CVector,https://www.crunchbase.com/organization/cvector,2026-01-26,Seed,1-10,"New York, New York, United States",CVector connects live controls data from industrial sites with dynamic market signals.,5000000,USD,5000000,"Powerhouse Ventures, Schematic Ventures",https://www.cvector.com
Parambil,https://www.crunchbase.com/organization/parambil,2026-01-13,Seed,11-50,"Nyack, New York, United States",Parambil is an AI-powered legal technology company that specializes in medical record review and litigation support.,6000000,USD,6000000,"Bling Capital, Daybreak ventures",https://www.parambil.com
Oasys Health,https://www.crunchbase.com/organization/oasys-05ce,2026-01-06,Seed,1-10,"New York, New York, United States",Building the OS for modern mental healthcare.,4000000,USD,4000000,"1984 Ventures, Pathlight Ventures",https://oasys.health/
Pluto Financial Technologies,https://www.crunchbase.com/organization/pluto-financial-technologies,2026-01-06,Seed,1-10,"New York, New York, United States","Pluto is an AI-powered lending platform that lets investors borrow against private assets, with repayment from future distributions.",8600000,USD,8600000,Motive Ventures,https://www.plutocredit.com/
GiveCard,https://www.crunchbase.com/organization/givecard,2026-01-14,Seed,11-50,"Boston, Massachusetts, United States","GiveCard builds accessible card-issuing infrastructure, putting reloadable prepaid issuing in reach without the time, engineering and $$$.",8859997,USD,8859997,,https://www.givecard.io
Aurora Therapeutics,https://www.crunchbase.com/organization/aurora-therapeutics,2026-01-09,Seed,11-50,"Cambridge, Massachusetts, United States",Aurora Therapeutics is changing the way personalized gene-editing medications are created and approved for patients with rare diseases.,16000000,USD,16000000,Menlo Ventures,https://www.auroratherapeutics.io
Pinch AI,https://www.crunchbase.com/organization/pinch-ai,2026-01-15,Seed,1-10,"San Jose, California, United States",After Purchase abuse mitigation platform.,5000000,USD,5000000,"Dynamo, Infinity Ventures",https://www.pinch.ai
Titl,https://www.crunchbase.com/organization/titl-8042,2026-01-14,Seed,1-10,"Miami, Florida, United States","Titl delivers autonomous, near-instant title production, verification, and on-chain title plant access—powered by AI, secured by Web3.",2500000,USD,2500000,"Cofounders Capital, Expert Dojo, Fit Ventures, Polymesh Labs",https://titl.co/
PraxisPro,https://www.crunchbase.com/organization/praxispro,2026-01-21,Seed,1-10,"Houston, Texas, United States","PraxisPro operates as an AI-powered training platform targeted for life sciences, including pharmaceutical and medical device sales teams.",7853193,USD,7853193,AlleyCorp,https://www.praxispro.ai
Avenue Biosciences,https://www.crunchbase.com/organization/avenue-biosciences,2026-01-12,Seed,11-50,"Palo Alto, California, United States",Avenue Biosciences is a transatlantic biotech business that specializes on innovative protein engineering technologies.,7440682,USD,7440682,"Balnord, Tesi, Voima Ventures",https://www.avenuebiosciences.com/
Yolando,https://www.crunchbase.com/organization/yolando,2026-01-26,Seed,11-50,"Toronto, Ontario, Canada","Yolando Provides AI visibility management, brand knowledge modeling, and go to market execution to align how AI and buyers understand brands",8500000,USD,8500000,,https://yolando.com/
IrisGo.AI,https://www.crunchbase.com/organization/irisgo-ai,2026-01-27,Seed,1-10,"Palo Alto, California, United States","IrisGo serves up instant answers, smart plans, and hands-free automation—so you can focus on the big stuff while it handles the routine.",2800000,USD,2800000,AI Fund,https://irisgo.ai
Aniai,https://www.crunchbase.com/organization/aniai,2026-01-20,Seed,11-50,"New York, New York, United States",Aniai develops a labor solution for quick service restaurants by building a robotic kitchen.,4000000,USD,4000000,"InterVest Co., Korea Development Bank",https://www.aniai.ai/
Midship,https://www.crunchbase.com/organization/midship,2026-01-27,Seed,1-10,"San Francisco, California, United States",Midship is an AI-powered application that automates the extraction of data from various documents,4150000,USD,4150000,"Costanoa Ventures, Y Combinator",https://midship.ai/
Cork Protocol,https://www.crunchbase.com/organization/cork-protocol,2026-01-21,Seed,1-10,"New York, New York, United States",Cork offers collateralized swaps against any pegged asset.,5500000,USD,5500000,"a16z crypto, Road Capital",https://www.cork.tech
Curate,https://www.crunchbase.com/organization/curate-71ec,2026-01-28,Seed,11-50,"Newport Beach, California, United States",Curate is a premium analytics and ordering platform for the hospitality industry.,10000000,USD,10000000,Kirk Brown,https://www.getcurate.com/
Datalinx AI,https://www.crunchbase.com/organization/datalinx-ai,2026-01-29,Seed,1-10,"New York, New York, United States","Datalinx AI provides a platform that cleans, transforms, enriches, and monitors data to enable accurate AI insights and automated workflows.",4200000,USD,4200000,High Alpha,https://datalinx.ai
Gyde,https://www.crunchbase.com/organization/gyde-707f,2026-01-28,Seed,1-10,"Austin, Texas, United States",Gyde operates an AI-native brokerage platform designed to support insurance professionals and agencies with digital tools and services.,60000000,USD,60000000,Lightspeed Venture Partners,https://gydehealth.ai/
DiversiFi,https://www.crunchbase.com/organization/diversifi-c9c0,2026-01-20,Seed,11-50,"Salt Lake City, Utah, United States",B2B SaaS in the shipping industry,8000000,USD,8000000,"Kickstart, Peterson Ventures, Sorenson Capital",https://www.diversifi.ai
Formulary Financial,https://www.crunchbase.com/organization/formulary-financial,2026-01-20,Seed,1-10,"New York, New York, United States",Formulary Financial develops solutions that integrate AI and data-driven systems to support fund administration and asset management.,4600000,USD,4600000,Khosla Ventures,https://www.formulary.co
Musical AI,https://www.crunchbase.com/organization/musical-ai,2026-01-13,Seed,11-50,"Los Angeles, California, United States","Musical AI is a technology company focused on secure music licensing, rights management, and attribution for AI applications.",4500000,USD,4500000,"Build Ventures, Heavybit",https://wearemusicalai.com/
MilkStraw AI,https://www.crunchbase.com/organization/milkstraw-ai,2026-01-06,Seed,1-10,"San Francisco, California, United States",An AI-powered AWS optimization platform for high-growth companies,2000000,USD,2000000,"F6 Ventures, VentureSouq",https://www.milkstraw.ai/
Carna Health,https://www.crunchbase.com/organization/carna-health,2026-01-08,Seed,11-50,"Boston, Massachusetts, United States",Carna Health is a biotech company that brings common clinical whole blood tests into the comfort of the patient’s home.,8000000,USD,8000000,,https://carna.health/
HeyMilo,https://www.crunchbase.com/organization/heymilo,2026-01-05,Seed,1-10,"New York, New York, United States","HeyMilo is an AI-powered candidate screening platform that enables organizations to screen, interview, and evaluate candidates.",3899997,USD,3899997,"Alumni Ventures, Canaan Partners",https://www.heymilo.ai/
Open,https://www.crunchbase.com/organization/opencopilot,2026-01-20,Seed,1-10,"Delaware, Ohio, United States",Open is an AI-powered customer support platform designed to automate support workflows.,7000000,USD,7000000,"X By Unifonic, Y Combinator",https://open.cx
Anvara,https://www.crunchbase.com/organization/anvara,2026-01-14,Seed,1-10,"New York, New York, United States",Sponsorship Marketplace,3100000,USD,3100000,Game Changers Ventures,https://anvara.com
encoord,https://www.crunchbase.com/organization/encoord,2026-01-08,Seed,11-50,"Denver, Colorado, United States",encoord provides software tools to plan today's energy systems and their transition to a decarbonized future.,2000000,USD,2000000,"Colorado Office of Economic Development and International Trade, KittyHawk",https://encoord.com/
Noise Labs,https://www.crunchbase.com/organization/noise-labs-30d8,2026-01-14,Seed,1-10,"New York, New York, United States",Noise Labs offers a programmatic liquidity platform for people to trade trends and narratives as assets.,7100000,USD,7100000,Paradigm,https://www.noise.xyz/
Blockit AI,https://www.crunchbase.com/organization/blockit-ai,2026-01-22,Seed,11-50,"San Francisco, California, United States","Blockit AI delivers an AI scheduling agent that coordinates, books, and reschedules meetings across calendars and time zones.",5000000,USD,5000000,Sequoia Capital,https://blockit.tech
Tivara,https://www.crunchbase.com/organization/tivara,2026-01-08,Seed,1-10,"New York, New York, United States","Tivara designs software to help doctors quickly automate prior authorization requests, so care is delivered faster.",3600000,USD,3600000,Y Combinator,https://www.tivara.com/
STRM.BIO,https://www.crunchbase.com/organization/strm-bio,2026-01-07,Seed,11-50,"Cambridge, Massachusetts, United States",STRM.BIO is a biotechnology company that uses extracellular vesicles to deliver gene therapy in a more efficient and practical manner.,8000000,USD,8000000,"Bill & Melinda Gates Foundation, NCATS, NYBC Ventures, Recordati",https://strm.bio/
Pull Logic,https://www.crunchbase.com/organization/pull-logic,2026-01-22,Seed,11-50,"Atlanta, Georgia, United States",Pull Logic is a SaaS platform that addresses lost sales due to stockout for the retail industry.,3300000,USD,3300000,NewBuild Venture Capital,https://pulllogic.com/
Konnex World,https://www.crunchbase.com/organization/konnex-robotics,2026-01-15,Seed,1-10,"Los Angeles, California, United States","Konnex is building the decentralized coordination, verification, and payment layer for autonomous robots.",15000000,USD,15000000,Brandon Torres Declet,https://konnex.world/
Nerd Apply,https://www.crunchbase.com/organization/nerd-apply,2026-01-27,Seed,1-10,"New York, New York, United States",Nerd Apply provides a data platform for college counselors to guide students using real admissions outcomes.,3200000,USD,3200000,,https://www.nerdapply.com/
Modelence,https://www.crunchbase.com/organization/modelence,2026-01-28,Seed,1-10,"San Francisco, California, United States",Modelence is a Software Development firm offering typeScript cloud services AI apps production.,3000000,USD,3000000,Y Combinator,https://modelence.com
Point Laz,https://www.crunchbase.com/organization/point-laz,2026-01-20,Seed,1-10,"Quebec, Quebec, Canada",Point Laz is an innovative mine monitoring system that delivers a substantial and enduring impact.,3000000,CAD,2168617,"Centech, i4 Capital",https://www.pointlaz.com/en
Thunder Compute,https://www.crunchbase.com/organization/thunder-9b4c,2026-01-20,Seed,1-10,"San Francisco, California, United States",The cheapest GPU cloud for developers,4500000,USD,4500000,Matrix,https://www.thundercompute.com
Unusual AI,https://www.crunchbase.com/organization/unusual-ai,2026-01-02,Seed,1-10,"San Francisco, California, United States",Unusual AI is an IT and Internet firm offering AI that personalise website according to visitors for more conversions.,3600000,USD,3600000,BoxGroup,https://www.unusual.ai/
Tenbin Labs,https://www.crunchbase.com/organization/tenbin-labs,2026-01-27,Seed,1-10,"New York, New York, United States",Tenbin Labs is a startup developing a tokenized asset protocol for real-world assets like commodities and foreign exchange markets.,7100000,USD,7100000,Galaxy Ventures,https://www.tenbinlabs.xyz/
Cimba.ai,https://www.crunchbase.com/organization/cimba-ai,2026-01-19,Seed,11-50,"San Francisco, California, United States",AI infrastructure for enterprise business operation to create custom adaptive gen-AI applications to optimize business operations,2500000,USD,2500000,"Ripple Ventures, Spider Capital",https://www.cimba.ai
Neuramint,https://www.crunchbase.com/organization/neuramint,2026-01-12,Seed,,"Denver, Colorado, United States",Neuramint gives developers the ability to design and manage autonomous Web3 workflows.,5000000,USD,5000000,,https://www.neuramint.xyz
Juno Industries,https://www.crunchbase.com/organization/juno-industries,2026-01-15,Seed,11-50,"Vancouver, British Columbia, Canada",Juno Industries Build advanced defence technology to protect.,3000000,USD,3000000,Geordie Rose,https://www.junoindustries.ca/
Legion Health,https://www.crunchbase.com/organization/legion-health,2026-01-13,Seed,11-50,"Austin, Texas, United States",Legion Health offers telepsychiatry services that improve mental health access and care.,,,,ZD Ventures,https://legionhealth.com
Whetstone Research,https://www.crunchbase.com/organization/whetstone-research,2026-01-28,Seed,1-10,"New York, New York, United States",Whetstone Research is dedicated to the design and development of innovative protocols that facilitate the advancement of on-chain markets.,9000000,USD,9000000,"Pantera Capital, Variant",https://whetstone.cc/
Monark Markets,https://www.crunchbase.com/organization/monark-markets,2026-01-22,Seed,11-50,"New York, New York, United States","Monark Markets is the back-end infrastructure connecting brokerages, advisors and custodians to private markets.",916720,USD,916720,"Forum Ventures, Garuda Ventures",https://monark-markets.com
Fortitude Biomedicines,https://www.crunchbase.com/organization/fortitude-biomedicines,2026-01-26,Seed,1-10,"Waltham, Massachusetts, United States",Fortitude Biomedicines is a biotechnology company that develops antibody-based biologic drugs targeting autoimmune diseases.,13000000,USD,13000000,"Elikon Venture, K2VC, Lichen Capital, Shanghai Biomedical Industrial Equity Investment Fund, Shanghai Healthcare Angel Capital",https://fortitudebio.com
NALA Membranes,https://www.crunchbase.com/organization/nala-systems,2026-01-22,Seed,1-10,"Morrisville, North Carolina, United States",NALA Membranes provides environmental services with an intention to bring new reverse osmosis membranes.,10765773,USD,10765773,"Good Growth Capital, MassChallenge, National Science Foundation",https://www.nalamembranes.com
Modeinspect,https://www.crunchbase.com/organization/acreom,2026-01-15,Seed,1-10,"San Francisco, California, United States",Modeinspect is the new way of building software products,3400000,USD,3400000,"Expedite Ventures, N1, Partech",https://modeinspect.com/
FinOpsly,https://www.crunchbase.com/organization/finopsly,2026-01-14,Seed,11-50,"Cincinnati, Ohio, United States","Cloud, Data, AI Cost Management, FinOps",6420002,USD,6420002,Hyde Park Venture Partners,https://www.finopsly.com
Poetiq,https://www.crunchbase.com/organization/poetiq,2026-01-30,Seed,1-10,"Mountain View, Missouri, United States",Poetiq develops an AI meta-system that improves large language models for complex reasoning and problem solving.,45800000,USD,45800000,"FYRFLY Venture Partners, Surface Ventures",https://poetiq.ai
Zibra AI,https://www.crunchbase.com/organization/zibra-ai,2026-01-07,Seed,11-50,"Sunnyvale, California, United States",AI-native infrastructure powering spatial AI era,,,,"Andreessen Horowitz, Epic Games, Google for Startups, SID Venture Partners",https://zibra.ai/
Atomic Insights,https://www.crunchbase.com/organization/atomic-insights-61cc,2026-01-14,Seed,11-50,"San Diego, California, United States",Atomic Insights offers money-movement and process automation products for RIAs and family offices.,10000000,USD,10000000,Aquiline Capital Partners,https://www.atomicinsights.io/
"Fronen, Inc.",https://www.crunchbase.com/organization/fronen-foods,2026-01-20,Seed,1-10,"Chicago, Illinois, United States",Frönen crafts clean ingredient frozen desserts.,,,,Angel Investor Forum,https://www.eatfronen.com/
Verse Gaming,https://www.crunchbase.com/organization/verse-gaming,2026-01-16,Seed,1-10,"Brooklyn, New York, United States",Verse Gaming is the social marketplace built for peer-2-peer gaming.,1431994,USD,1431994,RallyCry Ventures,https://www.versegaming.com/
Stork Exchange,https://www.crunchbase.com/organization/stork-exchange,2026-01-16,Seed,1-10,"Charlotte, North Carolina, United States",Stork Exchange is an online marketplace for returned and overstock baby gear,375000,USD,375000,,https://storkexchange.co/
Cashmere,https://www.crunchbase.com/organization/cashmere-5638,2026-01-22,Seed,1-10,"Salt Lake City, Utah, United States",Cashmere provides publishers with tools to manage and monetize data in the agentic AI era.,5000000,USD,5000000,"f7 Ventures, Perplexity Fund, Reach Capital",https://cashmere.io
Canada Rocket Company,https://www.crunchbase.com/organization/canada-rocket-company,2026-01-16,Seed,1-10,"Toronto, Ontario, Canada",Canada Rocket Company is an aerospace company engaged in the development of defence and space infrastructure for sovereign access to space.,6200000,CAD,4452584,"Business Development Bank of Canada, Garage Capital",https://www.canadarocketcompany.com/
Sentra,https://www.crunchbase.com/organization/sentra-0240,2026-01-28,Seed,11-50,"San Francisco, California, United States",Sentra is an AI-powered memory system designed for enterprises. It captures company knowledge and data to create alignment across teams.,5000000,USD,5000000,"a16z speedrun, Together Fund",https://www.sentra.app
Branded Realities,https://www.crunchbase.com/organization/branded-realities,2026-01-29,Seed,11-50,"Alexandria, Virginia, United States",Branded Realities is a technology company that focuses in AR-driven fan activation and online interactions.,1600000,USD,1600000,"Greg Darby, Jack Richards",https://www.brandedrealities.com
Kaida BioPharma,https://www.crunchbase.com/organization/kaida-biopharma,2026-01-21,Seed,1-10,"Fort Lauderdale, Florida, United States","Kaida BioPharma develops therapies for treatment-resistant gynecological cancers, focusing on ovarian cancer and hormone-driven diseases.",1570507,USD,1570507,,https://kaida-biopharma.com
Guard Owl,https://www.crunchbase.com/organization/guard-owl,2026-01-15,Seed,1-10,"Los Angeles, California, United States",Automating Private Security Operations with AI,3000000,USD,3000000,,https://guardowlco.com/
Kinotek,https://www.crunchbase.com/organization/kinotek,2026-01-05,Seed,11-50,"Portland, Maine, United States",Kinotek is a digital health platform revolutionizing musculoskeletal treatment and care.,2000000,USD,2000000,"Lake Nona Fund, Maine Technology Institute, Maine Venture Fund",https://www.kinotek.com/
Fortuna Media Group,https://www.crunchbase.com/organization/fortuna-media-group-406c,2026-01-03,Seed,101-250,"Seattle, Washington, United States","The organization owns a diverse portfolio of brands and service companies, operating numerous online businesses worldwide",1400000,USD,1400000,Taylor Lagarde,https://www.fortunamediagroup.com
Acurion,https://www.crunchbase.com/organization/acurion,2026-01-02,Seed,1-10,"San Diego, California, United States",Acurion develops AI-driven diagnostic solutions that extract actionable genomic biomarker insights from standard pathology images.,2100000,USD,2100000,TK & Partners,https://acurionhealth.com
Marketecture,https://www.crunchbase.com/organization/marketecture-950c,2026-01-05,Seed,1-10,"New York, New York, United States","Marketecture is a new kind of B2B media company. We cover advertising and marketing with podcasts, newsletters, and events.",1000000,USD,1000000,Digiday,https://marketecturemedia.com
Galaxy,https://www.crunchbase.com/organization/galaxy-01a2,2026-01-22,Seed,1-10,"New York, New York, United States",Building intelligent data systems,4009000,USD,4009000,,https://www.getgalaxy.io?utm_source=partner&utm_campaign=crunchbase
Transition Metal Solutions,https://www.crunchbase.com/organization/transition-biomining,2026-01-15,Seed,1-10,"San Francisco, California, United States","Transition develops targeted chemical products that enhance wild microbial communities for cheaper, greener metal extraction.",6000000,USD,6000000,"SOSV, Transition",https://transitionmetal.com
Another,https://www.crunchbase.com/organization/another-dc62,2026-01-20,Seed,1-10,"New York, New York, United States",Another is a startup provides software to centralize excess inventory data and workflows across retailers' existing systems,2500000,USD,2500000,"Anthemis Female Innovators Lab, Westbound Equity Partners",https://www.joinanother.io/#features
Theorem,https://www.crunchbase.com/organization/theorem-8d91,2026-01-27,Seed,1-10,"San Francisco, California, United States",Theorem is an AI based Software Development firm offering productivity and verification tools for development.,6000000,USD,6000000,Khosla Ventures,https://theoremlabs.com/
HyperFi,https://www.crunchbase.com/organization/hyperfi,2026-01-02,Seed,11-50,"San Francisco, California, United States",Seamless Connectivity. Powered by AI.,10000000,USD,10000000,Digital Alpha,https://hyperfi.ai/
Billdr Pro,https://www.crunchbase.com/organization/billdr,2026-01-26,Seed,11-50,"Montréal, Quebec, Canada",All in one Software for general contractors,3200000,USD,3200000,"One Way Ventures, White Star Capital",https://pro.billdr.co
PortalSphere,https://www.crunchbase.com/organization/b2b-plus,2026-01-12,Seed,11-50,"Portland, Oregon, United States","PortalSphere provides a B2B eCommerce platform designed for Shopify stores, enabling wholesale portals with custom pricing and upsells.",250000,USD,250000,Elevate Capital,https://www.portalsphere.io
Vivere Oncotherapies,https://www.crunchbase.com/organization/vivere-oncotherapies,2026-01-13,Seed,1-10,"Berkeley, California, United States",Vivere develops targeted cancer therapies that activate the immune system to detect and destroy tumors using engineered bio-platforms.,10000000,USD,10000000,"National Cancer Institute, YK Bioventures",https://viveretx.com
BRIJ Medical,https://www.crunchbase.com/organization/brijjit-medical,2026-01-08,Seed,1-10,"Marietta, Georgia, United States","BRIJ Medical, a medical device maker introduces a new age of post-surgical and trauma incision care with proven technologies.",,,,"MedTech Innovator, Tim Gleeson",http://www.brijmedical.com
Materialspace,https://www.crunchbase.com/organization/materialspace,2026-01-29,Seed,1-10,"New York, New York, United States",Materialspace develops AI-driven platforms to optimize bidding for finish trade contractors.,7000000,USD,7000000,"Secret Chord Ventures, StageOne Ventures, Timber Grove Ventures",https://www.materialspace.io
Osheru,https://www.crunchbase.com/organization/osheru,2026-01-12,Seed,1-10,"Bend, Oregon, United States","Osheru is a cutting-edge, startup company making medical devices.",250000,USD,250000,"Elevate Capital, Philip Hampson Knight",https://www.ziplyft.com/
ThinkOrbital,https://www.crunchbase.com/organization/think-orbital,2026-01-05,Seed,11-50,"Denver, Colorado, United States",ThinkOrbital develops an X-ray scanning system.,,,,"Advanced Industries Accelerator (AIA) Program, Colorado Office of Economic Development and International Trade, TFX Capital",https://www.thinkorbital.com
RevRing AI,https://www.crunchbase.com/organization/revring-ai,2026-01-14,Seed,11-50,"Newark, Delaware, United States",The World's Leader in Voice AI & Agentic Sales,5900000,USD,5900000,,https://www.revring.ai/
National Quality Systems,https://www.crunchbase.com/organization/national-quality-systems,2026-01-18,Seed,11-50,"Winter Park, Florida, United States",National Quality Systems is a clinical registry company empowering hospitals to achieve both clinical excellence and financial integrity.,3475000,USD,3475000,,https://mynqs.com
Whistle Performance,https://www.crunchbase.com/organization/whistle-performance,2026-01-20,Seed,11-50,"San Diego, Texas, United States",Whistle Performance provides AI-driven sports and human performance analytics software for teams and organizations.,2000000,USD,2000000,,https://www.whistleperformance.ai
Simparo Surgical,https://www.crunchbase.com/organization/simparo-surgical,2026-01-08,Seed,1-10,"Mobile, Alabama, United States",Simparo Surgical is a medical device manufacturing company that offers surgical equipments.,1000000,USD,1000000,,https://www.simparosurgical.com/
Cellar Insights,https://www.crunchbase.com/organization/cellar-insights,2026-01-21,Seed,1-10,"Calgary, Alberta, Canada",Cellar Insights Provides potato growers with a simple way to remotely monitor and act on storage conditions.,500000,CAD,361125,"Accelerate Fund, Carrot Ventures, SVG Ventures, Tall Grass Ventures",https://www.cellarinsights.com/
