Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
UnderContrac,https://www.crunchbase.com/organization/undercontrac,2026-01-20,Pre-Seed,1-10,"Wilmington, Delaware, United States",AI-powered SaaS that helps real estate operators launch and finance projects with automated workflows and investor docs.,160000,USD,160000,,https://www.undercontrac.com/
Osto,https://www.crunchbase.com/organization/osto-cybersecurity-private-limited,2026-01-15,Pre-Seed,11-50,"San Francisco, California, United States",One-Stop Cybersecurity Platform for Fast Moving Startups,75000000,INR,829996,,https://www.osto.one
Return Signals,https://www.crunchbase.com/organization/return-signals,2026-01-20,Pre-Seed,1-10,"San Francisco, California, United States","Proactive CX for E-commerce. Text post-delivery to provide support, preempt returns, and improve retention.",500000,USD,500000,,https://www.returnsignals.com
Aegis Vitals,https://www.crunchbase.com/organization/aegis-vitals,2026-01-15,Pre-Seed,1-10,"San Francisco, California, United States",Aegis Vitals is a healthcare tech company that offers AI-driven early-warning health intelligence that detects risk before symptoms appear.,25000,USD,25000,,https://aegisvitals.ai/
Global Key Solutions Corp.,https://www.crunchbase.com/organization/global-key-solutions-corp,2026-01-26,Pre-Seed,11-50,"New York, New York, United States","B2B SaaS, Regulatory Intelligence, Inspection Preparation",,,,,https://www.globalkeysolutions.net
Factagora,https://www.crunchbase.com/organization/factagora,2026-01-23,Pre-Seed,1-10,"San Jose, California, United States",Factagora develops a solution to verify AI-generated content in real time using reusable knowledge graphs,,,,Gyeonggi Creative Economy Innovation Center,https://www.factagora.com
Irreversible,https://www.crunchbase.com/organization/irreversible,2026-01-27,Pre-Seed,1-10,"Sherbrooke, Quebec, Canada",Irreversible designs next-generation analog AI chips that enable meaningful intelligence anywhere — from sensors to robots.,,,,"Innovation for Defence Excellence and Security, Quantacet",https://www.irreversible.tech/
Morph Systems,https://www.crunchbase.com/organization/morph-systems,2026-01-20,Pre-Seed,1-10,"Palo Alto, California, United States",Morphsys.ai builds custom generative AI solutions and AI operating systems to streamline enterprise workflows and data intelligence.,,,,,https://morphsys.ai/
DRNKR,https://www.crunchbase.com/organization/drnkr,2026-01-23,Pre-Seed,11-50,"The Villages, Florida, United States",DRNKR offers an app for beverage lovers to discover and taste craft beverages.,7500,USD,7500,,https://www.drnkr.com/
PromptShop,https://www.crunchbase.com/organization/promptshop,2026-01-16,Pre-Seed,11-50,"Toronto, Ontario, Canada",PromptShop helps users and enterprises go from experiments to production faster by standardizing AI packaging and sharing.,1000000,USD,1000000,,https://www.promptshop.co/
Sable Beauty,https://www.crunchbase.com/organization/sable-beauty,2026-01-15,Pre-Seed,,"New York, New York, United States","Sable Beauty is an online boutique specializing in curated indie and natural beauty and skincare brands, emphasizing clean.",,,,"SOSV, Turret Capital Management",https://www.sablebeauty.com
GyftPro,https://www.crunchbase.com/organization/gyftpro,2026-01-20,Pre-Seed,1-10,"Phoenix, Arizona, United States","GyftPro was designed to make gifting seem effortless, meaningful, and truly personal.",,,,,https://www.gyftpro.com
RABB Holdings,https://www.crunchbase.com/organization/rabb-holdings,2026-01-23,Pre-Seed,1-10,"Wyoming, Michigan, United States","Real Estate, Services and Management Consulting",,,,,
Evonova Group,https://www.crunchbase.com/organization/evonova-group,2026-02-05,Pre-Seed,1-10,"New York, New York, United States","Evonova Group builds retail applications using AI, robotics, and physical infrastructure for café operations.",25000,USD,25000,,https://www.evonovagroup.com/
WiseCost,https://www.crunchbase.com/organization/wisecost,2026-01-23,Pre-Seed,1-10,"Arlington, Virginia, United States","WiseCost is a cloud and cost management SaaS helping businesses plan, budget, and optimise expenses.",268000,USD,268000,,https://usewisecost.com/
AP Transit - NYC Subway Map,https://www.crunchbase.com/organization/ap-transit-nyc-subway-map,2026-01-26,Pre-Seed,1-10,"New York, New York, United States","AP Transit NYC Subway Map shows real-time subway locations, schedules, and station access to help riders navigate the system.",,,,,https://aptransit.co
TakeTwo,https://www.crunchbase.com/organization/taketwo,2026-01-28,Pre-Seed,1-10,"Sunnyvale, California, United States",TakeTwo is an AI-native film studio specialising in high-end visual storytelling by integrating AI into professional film workflows.,,,,"Afore Capital, Inovia Capital",https://www.trytaketwo.com/
Leracom AI,https://www.crunchbase.com/organization/leracom-ai,2026-01-26,Pre-Seed,11-50,"Monterrey, Nuevo Leon, Mexico",Leracom AI provides an AI-powered customer service SaaS platform combining automation and human input.,1000000,USD,1000000,WeBoost,https://leracom.ai/
