Organization Name,Organization Name URL,Last Funding Date,Last Funding Type,Number of Employees,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Lead Investors,Website
Talos,https://www.crunchbase.com/organization/talos-trading,2026-01-29,Series B,51-100,"New York, New York, United States","Talos is an end-to-end crypto trading platform that provides digital asset trading technology for lenders, brokers, and investors.",45000000,USD,45000000,"Andreessen Horowitz, General Atlantic, Initialized Capital",https://talos.com
Skild AI,https://www.crunchbase.com/organization/skild-ai,2026-01-14,Series C,11-50,"Pittsburgh, Pennsylvania, United States",Skild AI develops artificial intelligence systems that enable robots to act in physical environments.,1400000000,USD,1400000000,"Bezos Expeditions, Coatue, Lightspeed Venture Partners, NVIDIA, Samsung Electronics, SoftBank, SoftBank Group",https://www.skild.ai
Antheia,https://www.crunchbase.com/organization/antheia,2026-01-27,Series C,11-50,"Menlo Park, California, United States",Antheia uses synthetic biology to produce biosynthetic KSMs and APIs for essential medicines through engineered microbial fermentation.,24000000,USD,24000000,"America’s Frontier Fund, ATHOS KG, BioMaP-Consortium, EDBI, Global Health Investment Corporation, National Science Foundation, U.S. Department of Health & Human Services, Viking Global Investors",http://www.antheia.bio
Datarails,https://www.crunchbase.com/organization/datarails,2026-01-21,Series C,251-500,"New York, New York, United States","Datarails is an FP&A platform that automates consolidation, reporting, planning, and forecasting while supporting existing Excel models.",70000000,USD,70000000,"Innovation Endeavors, One Peak, Qumra Capital, Vertex Ventures, Vertex Ventures Israel, Zeev Ventures",http://www.datarails.com
Sage Geosystems,https://www.crunchbase.com/organization/sage-geosystems,2026-01-21,Series B,11-50,"Houston, Texas, United States",Sage Geosystems develops geothermal and energy storage technologies that use subsurface heat and pressure to generate and store electricity.,97000000,USD,97000000,"Carbon Direct Capital, Expand Energy, Geolog International, ignis H2 Energy, Ormat Technologies",https://www.sagegeosystems.com
Superstate,https://www.crunchbase.com/organization/superstate-317d,2026-01-22,Series B,11-50,"San Francisco, California, United States",Superstate develops blockchain-based investment products connecting traditional financial assets with crypto markets.,82500000,USD,82500000,"Bain Capital Crypto, CoinFund, Distributed Global",https://superstate.co
Juvena Therapeutics,https://www.crunchbase.com/organization/juvena-therapeutics,2026-01-12,Series B,11-50,"Palo Alto, California, United States",Juvena Therapeutics develops tissue-restorative biologics to address chronic muscle and age-related conditions.,33500000,USD,33500000,"Bison Ventures, California Institute for Regenerative Medicine, Horizons Ventures, Mubadala Capital Ventures",https://www.juvenatherapeutics.com
Articul8,https://www.crunchbase.com/organization/articul8-30ee,2026-01-07,Series B,51-100,"Palo Alto, California, United States","Articul8 AI is an enterprise-generative AI platform that helps organizations build, deploy, and manage AI applications.",35000000,USD,35000000,"Adara Ventures, Amazon Web Services, DigitalBridge",https://www.articul8.ai
Cyclic Materials,https://www.crunchbase.com/organization/cyclic-materials,2026-01-23,Series C,101-250,"Kingston, Ontario, Canada",Cyclic Materials is a cleantech company that develops a circular supply chain for rare earth elements and critical metals.,75000000,USD,75000000,"ArcTern Ventures, BMW i Ventures, Energy Impact Partners, InMotion Ventures, Microsoft Climate Innovation Fund, Sustainable Development Technology Canada, T. Rowe Price",https://www.cyclicmaterials.earth
Ivo,https://www.crunchbase.com/organization/latch-2f35,2026-01-20,Series B,101-250,"San Francisco, California, United States",Ivo is an AI-powered contract intelligence platform helping enterprise legal teams streamline contract review and negotiation processes.,55000000,USD,55000000,"Blackbird Ventures, Costanoa Ventures, Fika Ventures, Uncork Capital",https://www.ivo.ai
Mytra,https://www.crunchbase.com/organization/mytra,2026-01-15,Series C,101-250,"South San Francisco, California, United States",Mytra is a robotics company developing software-defined warehouse robotics solutions to automate industrial tasks in logistics.,120000000,USD,120000000,"Avenir, Eclipse Ventures, Greenoaks",http://mytra.ai
Railway,https://www.crunchbase.com/organization/railway-eb4a,2026-01-22,Series B,11-50,"San Francisco, California, United States",The all-in-one intelligent cloud provider,100000000,USD,100000000,"Redpoint, TQ Ventures",https://railway.com
Listen Labs,https://www.crunchbase.com/organization/listen-labs,2026-01-14,Series B,11-50,"San Francisco, California, United States",Listen Labs is an AI-first customer research platform that automates customer interviews and delivers actionable insights.,69000000,USD,69000000,"Ribbit Capital, Sequoia Capital",https://www.listenlabs.ai
Mediar Therapeutics,https://www.crunchbase.com/organization/mediar-therapeutics,2026-01-07,Series B,11-50,"Cambridge, Massachusetts, United States",Mediar is a pre-clinical stage biotechnology company developing therapeutics for the treatment of fibrosis.,76000000,USD,76000000,"Amplitude Venture Capital, Intermediate Capital Group, Mass General Brigham Ventures, Novartis Venture Fund, Sofinnova Partners",https://www.mediartx.com
JetZero,https://www.crunchbase.com/organization/jetzero,2026-01-13,Series B,251-500,"Long Beach, California, United States",JetZero is an aerospace startup developing all-wing aircraft to cut fuel use and emissions for commercial flights.,175000000,USD,175000000,"Alaska Star Ventures, B Capital, United Airlines, US Air Force Reserve",https://www.jetzero.aero
LiveKit,https://www.crunchbase.com/organization/livekit,2026-01-22,Series C,11-50,"San Jose, California, United States","LiveKit provides a cloud platform that enables developers to build, deploy, and manage real-time communication and AI-driven applications.",100000000,USD,100000000,"Altimeter Capital, Index Ventures, Redpoint",https://livekit.io
Accelsius,https://www.crunchbase.com/organization/accelsius,2026-01-12,Series B,101-250,"Austin, Texas, United States","Accelsius specializes in direct-to-chip liquid cooling solutions, providing efficient cooling for data centers.",65000000,USD,65000000,"Innventure, Johnson Controls",https://www.accelsius.com
Quadric,https://www.crunchbase.com/organization/quadric-io,2026-01-14,Series C,101-250,"Burlingame, California, United States",Quadric develops semiconductor intellectual property and tools for on-device artificial intelligence computing.,30000000,USD,30000000,"BEENEXT, Denso, NSITEXE, Pear VC",http://quadric.io
Defense Unicorns,https://www.crunchbase.com/organization/defense-unicorns,2026-01-13,Series B,101-250,"Colorado Springs, Colorado, United States",Defense Unicorns is a software startup that provides open-source software and AI capabilities for national security systems.,136000000,USD,136000000,"Ansa Capital, Bain Capital Tech Opportunities, Sapphire Ventures",https://www.defenseunicorns.com
Diagonal Therapeutics,https://www.crunchbase.com/organization/diagonal-therapeutics,2026-01-08,Series B,11-50,"Watertown, Massachusetts, United States",Diagonal Therapeutics is a biotechnology startup that develops targeted therapies for cancer and genetic diseases.,125000000,USD,125000000,"Atlas Venture, Biotechnology Value Fund, Janus Henderson Investors, Sanofi Ventures",https://www.diagonaltx.com
Cambium,https://www.crunchbase.com/organization/cambium-biomaterials,2026-01-05,Series B,101-250,"El Segundo, California, United States","Cambium specializes in advanced materials for defense and aerospace, focusing on AI-driven designs and agile manufacturing practices.",100000000,USD,100000000,8VC,https://cambium-usa.com
Zanskar,https://www.crunchbase.com/organization/zanskar,2026-01-21,Series C,101-250,"Salt Lake City, Utah, United States",Zanskar develops data-driven technology to identify and develop geothermal energy resources.,115000000,USD,115000000,"Lowercarbon Capital, Obvious Ventures, Spring Lane Capital, Union Square Ventures",https://zanskar.com
PaleBlueDot AI,https://www.crunchbase.com/organization/palebluedot-ai,2026-01-28,Series B,11-50,"Palo Alto, California, United States",PaleBlueDot AI is a technology company that provides cloud-based GPU infrastructure through a marketplace and dedicated computing clusters.,150000000,USD,150000000,B Capital,https://palebluedot.ai
Nasdaq Private Market,https://www.crunchbase.com/organization/nasdaq-private-market,2026-01-16,Series C,51-100,"San Francisco, California, United States","NPM brings together global private companies, banks and brokers, stakeholders, and investors together to transact in one marketplace.",37600000,USD,37600000,"Cerity Partners, Nasdaq",http://www.nasdaqprivatemarket.com
ZBD,https://www.crunchbase.com/organization/zebedee,2026-01-22,Series C,51-100,"Hoboken, New Jersey, United States",ZBD focuses on providing secure infrastructure to power real economies in digital experiences and environments.,40000000,USD,40000000,"Blockstream Capital Partners, Kingsway Capital, Lakestar",https://zbd.gg
Compa,https://www.crunchbase.com/organization/compa-976a,2026-01-26,Series B,101-250,"Newport Beach, California, United States",Compa provides a software platform that supplies compensation data and analytical tools for corporate pay decision processes.,35000000,USD,35000000,"Base10 Partners, Jump Capital, Storm Ventures",http://www.compa.ai
Ukko,https://www.crunchbase.com/organization/ukko,2026-01-08,Series C,11-50,"Palo Alto, California, United States",Ukko is a biotechnology company focused on developing immunotherapies for the treatment of allergies and other immune-mediated diseases.,45000000,USD,45000000,"Israel Biotech Fund, Leaps by Bayer",https://www.ukko.us/
Biller Genie,https://www.crunchbase.com/organization/biller-genie,2026-01-07,Series B,101-250,"Miami, Florida, United States","Biller Genie automates accounts receivable processes by handling invoice delivery, reminders, payment collection, and reconciliation.",22000000,USD,22000000,"Henry Helgeson, Radian Capital",https://www.billergenie.com
Precede Biosciences,https://www.crunchbase.com/organization/precede-biosciences,2026-01-12,Series B,11-50,"Boston, Massachusetts, United States",Precede Biosciences is a biotechnology company that provides a blood-based approach to reveal disease-defining transcriptional biology.,63500000,USD,63500000,"5AM Ventures, Lilly Asia Ventures",https://www.precede.bio
Kinaset Therapeutics,https://www.crunchbase.com/organization/kinaset-therapeutics,2026-01-10,Series B,1-10,"Boston, Massachusetts, United States",Kinaset Therapeutics is a biopharma company that focuses on advancement of novel drugs in areas of unmet medical needs.,103000000,USD,103000000,"5AM Ventures, Atlas Venture, Forge Life Science Partners, RA Capital Management",https://www.kinasettherapeutics.com
Ethernovia,https://www.crunchbase.com/organization/ethernovia,2026-01-20,Series B,51-100,"San Jose, California, United States",Ethernovia is a developer of an Ethernet system that provides the next evolution in vehicle communication.,90000000,USD,90000000,Maverick Silicon,https://www.ethernovia.com
Sixfold AI,https://www.crunchbase.com/organization/sixfold-ai,2026-01-29,Series B,11-50,"New York, New York, United States",Sixfold AI is an insurtech company that uses AI to automate underwriting processes and support more informed risk evaluation.,30000000,USD,30000000,"Bessemer Venture Partners, Brewer Lane Ventures, Lloyd's Lab, Salesforce Ventures",https://www.sixfold.ai
CAST AI,https://www.crunchbase.com/organization/cast-ai,2026-01-12,Series C,101-250,"Miami, Florida, United States","CAST AI is the leading Kubernetes automation platform that cuts AWS, Azure, and GCP customers’ cloud costs by over 50%",,,,"Cota Capital, Creandum, G2 Venture Partners, Hedosophia, Pacific Alliance Ventures, SoftBank Vision Fund, Vintage Investment Partners",https://www.cast.ai/
Beacon Therapeutics,https://www.crunchbase.com/organization/beacon-therapeutics,2026-01-08,Series C,101-250,"Alachua, Florida, United States",Beacon Therapeutics is a biotechnology company that develops treatments to preserve and restore vision for rare and prevalent eye diseases.,75000000,USD,75000000,"Forbion Capital Partners, Goldman Sachs Alternatives, Syncona Partners LLP",https://www.beacontx.com
Hydrosat,https://www.crunchbase.com/organization/hydrosat,2026-01-15,Series B,51-100,"Washington, District of Columbia, United States","Hydrosat leverages thermal satellite intelligence and AI to address critical global challenges in food, security, and natural resources",60000000,USD,60000000,"Cultivation Capital, Hartree Partners, Luxembourg-City Incubator, OTB Ventures, Source Agriventures Inc., Space4Earth, Statkraft Ventures, Subutai Capital Partners, Techstars, Truffle Capital",https://www.hydrosat.com
EpiBiologics,https://www.crunchbase.com/organization/epibiologics,2026-01-08,Series B,11-50,"San Mateo, California, United States",EpiBiologics develops antibody-based targeted therapies against membrane and extracellular proteins.,107000000,USD,107000000,"Google Ventures, Johnson & Johnson Innovation, Mubadala Capital Ventures, Polaris Partners",https://www.epibiologics.com
Apella Technology,https://www.crunchbase.com/organization/apella-technology,2026-01-07,Series B,51-100,"Oakland, California, United States",Apella Technology is an AI startup that brings modern engineering to improve surgery.,80000000,USD,80000000,"Casdin Capital, HighlandX",https://apella.io
GovDash,https://www.crunchbase.com/organization/realize-6f6f,2026-01-15,Series B,11-50,"San Francisco, California, United States","GovDash is a technology company that provides a data platform to track, visualize, and benchmark government and public policy metrics.",30000000,USD,30000000,"BCI, Mucker Capital, Northzone",https://govdash.com
VelaFi,https://www.crunchbase.com/organization/galactic-holdings,2026-01-12,Series B,11-50,"Mexico City, Distrito Federal, Mexico","VelaFi is a digital finance company that specializes in crypto, mobile app, payment, blockchain, wallet, and fintech services.",20000000,USD,20000000,"BAI capital, Dragonfly, Galaxy Interactive, Ikuyo, XVC",https://www.velafi.com
Soley Therapeutics,https://www.crunchbase.com/organization/soley-therapeutics,2026-01-07,Series C,11-50,"San Francisco, California, United States",Soley Therapeutics combines AI with molecular and cellular response detection for developing new efficacious drugs.,200000000,USD,200000000,Surveyor Capital,https://soleytherapeutics.com
Mirador Therapeutics,https://www.crunchbase.com/organization/mirador-therapeutics,2026-01-12,Series B,11-50,"San Diego, California, United States",Mirador Therapeutics develops precision medicines for immune-mediated diseases.,250000000,USD,250000000,ARCH Venture Partners,https://miradortx.com
Epikast,https://www.crunchbase.com/organization/epikast-inc,2026-01-30,Series B,51-100,"New York, New York, United States",Epikast provides technology-enabled commercial and clinical services for the biopharmaceutical industry.,,,,"EcoR1 Capital, Kos Biotechnology Partners",http://www.epikast.com
AnswersNow,https://www.crunchbase.com/organization/answersnow,2026-01-21,Series B,11-50,"Richmond, Virginia, United States",AnswersNow is an app that revolutionized autism support by utilizing the use of  technology.,40000000,USD,40000000,"HealthQuest Capital, Kapor Capital, Left Lane Capital, Trolley Venture Partners, Virginia Innovation Partnership Corporation",https://getanswersnow.com
Brickeye,https://www.crunchbase.com/organization/aoms-technologies,2026-01-20,Series B,11-50,"Toronto, Ontario, Canada","Brickeye's job site IoT platform reduces risk, drives productivity and protects margins on major construction projects globally.",10000000,USD,10000000,"BDC Capital Corporation, Brightspark Ventures, Canadian Technology Accelerator Silicon Valley, GreenSky Ventures, The CDMN Soft-Landing Program",https://www.brickeye.com/
Pomelo Care,https://www.crunchbase.com/organization/pomelo-care,2026-01-08,Series C,251-500,"New York, New York, United States",Pomelo Care is a health technology company that develops evidence-based healthcare solutions for women and children.,92000000,USD,92000000,"Andreessen Horowitz, First Round Capital, Stripes",https://pomelocare.com
MontyCloud,https://www.crunchbase.com/organization/montycloud,2026-01-13,Series B,11-50,"Seattle, Washington, United States",MontyCloud helps customers manage and monitor their cloud services.,11472839,USD,11472839,"Madrona, Riverside Acceleration Capital, S3 Ventures",https://www.montycloud.com/
GS Microelectronics,https://www.crunchbase.com/organization/gs-microelectronics,2026-01-06,Series B,251-500,"San Jose, California, United States","GS Microelectronics provides manufacturing services for custom semiconductor solutions, including chip design, engineering, and power ICs.",35000000,USD,35000000,Maverick Silicon,https://gsme.com
PAQ Therapeutics,https://www.crunchbase.com/organization/paq-therapeutics,2026-01-22,Series B,1-10,"Cambridge, Massachusetts, United States",PAQ Therapeutics is a biotechnology company pioneering a new approach to restoring health and curing disease through autophagy.,38000000,USD,38000000,"Bayland Capital, MRL Ventures Fund, Sherpa Healthcare Partners",https://www.paqtx.com/
Visitt.io,https://www.crunchbase.com/organization/visitt-io,2026-01-26,Series B,11-50,"New York, New York, United States","Achieve property operations excellence, reduce OpEx, and connect teams & tenants with apps they'll love to use.",22000000,USD,22000000,Susquehanna Growth Equity,https://www.visitt.io
Luxury Presence,https://www.crunchbase.com/organization/luxury-presence,2026-01-08,Series C,501-1000,"Santa Monica, California, United States",Website and marketing system used by the world’s leading real estate agents and brokers.,22000000,USD,22000000,"75 & Sunny, Bessemer Venture Partners, JP Morgan, Switch Ventures",https://www.luxurypresence.com/
WithCoverage,https://www.crunchbase.com/organization/withcoverage,2026-01-13,Series B,51-100,"New York, New York, United States",WithCoverage operates as a modern risk management and insurance broking platform targeting fast-growing businesses.,42000000,USD,42000000,"Khosla Ventures, Sequoia Capital",https://withcoverage.com
Inquis Medical,https://www.crunchbase.com/organization/inquis-medical,2026-01-12,Series C,11-50,"Redwood City, California, United States","Inquis Medical is developing thrombectomy technology, enabling an efficient single-pass thrombectomy with minimal blood loss.",75000000,USD,75000000,Marshall Wace,https://inquismedical.com/
Primmune Therapeutics,https://www.crunchbase.com/organization/primmune-therapeutics,2026-01-26,Series B,1-10,"San Diego, California, United States",Primmune Therapeutics is a Biotechnology company.,8600000,USD,8600000,"Bioqube Ventures, CAM Capital, Polaris Partners",https://www.primmunerx.com/
Vista.ai,https://www.crunchbase.com/organization/vista-ai,2026-01-14,Series B,11-50,"Palo Alto, California, United States",Vista.ai is an artificial intelligence that offers clinicians to conduct MRI studies.,29500000,USD,29500000,"Cedars-Sinai Health Ventures, Fox Chase Cancer Center, Intermountain Ventures, Khosla Ventures, Tampa General Hospital, University of Utah Health",https://vista.ai
Enspire DBS Therapy,https://www.crunchbase.com/organization/enspire-dbs-therapy,2026-01-13,Series B,1-10,"Cleveland, Ohio, United States",Enspire DBS Therapy supports stroke recovery patients using deep brain stimulation with physical rehabilitation to restore motor function.,10300000,USD,10300000,"Cleveland Clinic, Genesys Capital",https://www.enspiredbs.com
Indigo,https://www.crunchbase.com/organization/indigo-a1d4,2026-01-29,Series B,11-50,"Nashville, Tennessee, United States",Indigo is an insurance company that provides medical professional liability insurance to physicians and groups.,50000000,USD,50000000,Rubicon Founders,https://www.getindigo.com
Xoxoday,https://www.crunchbase.com/organization/giift,2026-01-14,Series C,501-1000,"Redwood City, California, United States","Xoxoday offers a suite of products that drive growth through meaningful rewards, recognition, loyalty, and engagement programs.",,,,"57 Stars, Apis Partners, Kshatriya ventures, Mahindra Holidays & Resorts India Limited",https://www.xoxoday.com
Canopy Works,https://www.crunchbase.com/organization/canopy-works,2026-01-08,Series B,101-250,"San Francisco, California, United States",The connected safety platform for hospitals and health systems,22000000,USD,22000000,"111° West Capital, ACME Capital",https://www.canopyworks.com/
Fiddler AI,https://www.crunchbase.com/organization/fiddler-labs,2026-01-27,Series C,51-100,"Palo Alto, California, United States","Fiddler provides enterprise model performance management software that allows monitoring, explaining, analyzing, and improving ML models.",30000000,USD,30000000,"Amazon Alexa Fund, Dentsu Ventures, Haystack, Insight Partners, Lightspeed Venture Partners, Lockheed Martin Ventures, Lux Capital, Plug and Play Insurtech, RPS Ventures",https://www.fiddler.ai
The 33rd Team,https://www.crunchbase.com/organization/the-33rd-team,2026-01-13,Series B,51-100,"Deerfield Beach, Florida, United States",The 33rd Team is a sports entertainment platform that offers spectator sports content.,,,,"Liberty Media, The Baupost Group",https://www.the33rdteam.com/
CraniUS,https://www.crunchbase.com/organization/cranius,2026-01-28,Series B,11-50,"Baltimore, Maryland, United States",CraniUS is a manufacturer of medical equipment.,20000000,USD,20000000,Maryland Department of Commerce,https://craniustherapeutics.com/
Ambient Clinical Analytics,https://www.crunchbase.com/organization/ambient-clinical-analytics,2026-01-14,Series B,11-50,"Rochester, Minnesota, United States","Ambient Clinical Analytics is a provider of clinical analytics solutions to health systems and hospitals,",200000,USD,200000,"Bluestem Capital, Noaber, Waterline Ventures",http://ambientclinical.com
Nocion Therapeutics,https://www.crunchbase.com/organization/nocion-therapeutics,2026-01-07,Series B,11-50,"Cambridge, Massachusetts, United States",Nocion Therapeutics is a developer of novel pharmaceuticals intended to treat the conditions arising from neurogenic inflammation.,23000000,USD,23000000,"Arkin Holdings, Canaan Partners, F-Prime, Monograph Capital",https://www.nociontx.com/
Tandem,https://www.crunchbase.com/organization/tandem-120a,2026-01-26,Series B,11-50,"New York, New York, United States","Tandem uses AI to handle prior authorizations, affordability, and pharmacy coordination for every Rx.",,,,Accel,https://withtandem.com
Origin,https://www.crunchbase.com/organization/origin-7796,2026-01-28,Series B,11-50,"Los Angeles, California, United States","Origin provides physical therapy designed for women & mothers offering expert care for common female health issues, on-line and in-person.",,,,"Brand Foundry Ventures, SJF Ventures",https://www.theoriginway.com/
Wed Society,https://www.crunchbase.com/organization/wed-society,2026-01-19,Series B,51-100,"Edmond, Oklahoma, United States","Wed Society is a national wedding planning platform connecting engaged couples to curated local vendors through social, digital, and print.",,,,,https://www.wedsociety.com
